wafer_id,mean,sd_within,standard_error,worst_site,shift_drop_worst,p_value,flagged
wf0099,647.1658461538462,14.532778472853197,4.030667535294727,6,-2.063653846153784,0.5118083239702067,False
wf0100,630.3087692307691,11.799736064518893,3.2726579551972717,10,-1.6788974358973974,0.8312324751923768,False
wf0101,617.9404615384615,11.336397448156285,3.144150944489739,12,1.5105448717947638,0.8695641130743703,False
wf0102,659.5467692307692,27.24325196617151,7.555918605724348,6,-4.071314102564088,9.175899895829094e-05,True
wf0103,629.8893846153846,14.292546428928492,3.9640391543424163,3,2.253717948717963,0.5432495111681586,False
wf0104,644.3040769230769,11.265110751501284,3.1243795721783503,8,1.6375769230768356,0.8749277824024293,False
wf0105,620.2408461538461,29.012478352271543,8.046613717492619,5,-4.432403846153875,1.188046007932686e-05,True
wf0106,663.5644615384615,10.571996221270796,2.932144189215646,10,1.4292115384615727,0.9197010901395933,False
wf0107,563.4731538461539,9.266537899400499,2.5700751955629895,8,1.32307051282055,0.9712481190196254,False
wf0108,611.3121538461539,13.636906588654641,3.782197380315925,8,-2.1387628205127385,0.6280430852747023,False
wf0109,562.0931538461539,8.851780666869166,2.455042236427508,3,-1.1438461538460842,0.9804673793260774,False
wf0110,653.514076923077,9.234745488836712,2.561257567373887,8,1.739910256410326,0.9720566343123861,False
wf0111,614.7706923076922,10.842552523772687,3.0071830062595315,10,-1.5622243589743903,0.9037975727936111,False
wf0112,642.1308461538463,39.682965757459364,11.00607444623088,8,7.0190128205128985,8.784913285218634e-13,True
wf0113,621.8100769230768,13.56510273005418,3.7622825730882226,2,2.135660256410233,0.6371224363705794,False
wf0114,603.0209999999998,13.101919643065024,3.6338186984676764,6,-2.423333333333403,0.6940544473529,False
wf0115,616.6870769230769,7.750629291241877,2.149637794360439,3,-1.1757564102563265,0.9940840132323354,False
wf0116,621.2166923076923,17.18410781014741,4.766013987122131,1,-2.3829743589743657,0.20729729930629628,False
wf0117,645.3967692307692,8.52554101073011,2.3645596357891154,11,-1.5840641025640707,0.9859180501105357,False
wf0118,612.2965384615384,10.606007469160941,2.94157721215491,11,1.7179551282050625,0.9178099645733067,False
wf0119,587.7930769230769,12.377339216363225,3.4328562460314527,6,-1.8939230769231017,0.7753229802126752,False
wf0120,610.4430769230769,14.961490542174925,4.149570869783171,3,2.6406602564103423,0.4560787852998013,False
wf0121,670.3116923076923,10.975331539294658,3.0440092792418465,11,-1.526474358974383,0.8952619610440739,False
wf0122,671.4357692307693,13.0041065895473,3.6066902384778414,10,-2.24989743589731,0.7056432495372622,False
wf0123,630.3012307692309,9.610028426543513,2.6653423269668584,9,1.6238974358974474,0.9613080684217278,False
wf0124,598.1593846153845,10.330914871866083,2.8652802533051274,8,-1.6901987179487605,0.9322390230547386,False
